platform,comment,timestamp,username,sentimen
YouTube,Roy Suryo pantas di jeblos kan ke PENJARA,1 menit yang lalu,@marubaedisiahaan3435,Netral
YouTube,Kopok calon penguni penjara roy cs..semoga grombolan kadron panci..otak kerdil.kang panci semoga betah ya..roy suryo di depan kamera  gsyanya tertawa tapi jantung nya gemetera terkencing kencing..,1 menit yang lalu,@enyjulaikah7086,Netral
YouTube,"Orang yg ngotot dgn izazah jokowi, pasti ada niat tertentu ataupun mencari keuntungan. Rakyat ada di pihak jokowi yg telah banyak berkorban di negara ini.",1 menit yang lalu,@tsinurat-kv2vu,Netral
YouTube,"Salut buat Pak Suryo 
Konsisten melawan oligarki",1 menit yang lalu,@BadutSurabayaSidoarjo,Netral
YouTube,Orang gila ini mau ditunjukkan yg asli tetep aja bilang palsu yg bener langsung jalur hukum...,1 menit yang lalu,@bagiokirun5176,Netral
YouTube,Roy suryo ! Maksutnya orang salah ga boleh dihukum. Karna perempuan,1 menit yang lalu,@sutresNihero,Netral
YouTube,Kalo nganggur kerja njeng....bukan cari gara2 mulu bikin gaduh gag penting,1 menit yang lalu,@ariesprasetyo6273,Netral
YouTube,"Semangat, para pejuang pengungkap kebenaraan.",1 menit yang lalu,@MasNarqo,Netral
YouTube,Susah di kasih tau bak apalagi jubirnya   pasti tdk mau paham lah,1 menit yang lalu,@fauzinji8106,Netral
YouTube,Ya Allah tunjukan kuasamu kebenaran itu pasti akan kau buka dan kebusukan itu akan hancur ditelan masa amin,1 menit yang lalu,@IkkiIkki-e4h,Netral
YouTube,"Sangat lucu sumpah gerombolan mereka ini, apa sih tujuannya?",1 menit yang lalu,@Galuh1990-g7g,Netral
YouTube,"Setakat ditunjukin belum diuji forensik...emang polisi tahu itu asli atau palsu...
Nanti lihat dipengadilan...sama sama bawa team penguji/team ahli...
Buat sidang terbuka untuk umum...live di tv nasional serentak....
Biar hakim..jaksa...kagak berani main2...masyarakat sudah muakkkk...gaduh gara2 keluarga jokowi....",1 menit yang lalu,@niwayanserikandi4196,Netral
YouTube,"Masayrkt yg mn anda maksud? Roi,pintar itu relatif tp"" jd sok tau semuanya,",1 menit yang lalu,@edonmbeo8980,Netral
YouTube,"Orang-orang yg tidak suka Jokowi, jikalau kasus ini dimenangkan pihak Jokowi ya tentu mereka akan bilang aparat penegak hukum diintervensi 😂",1 menit yang lalu,@iamgilis977,Netral
YouTube,Kenapa RS sepertinya panik gt ya ..wakakakak...,1 menit yang lalu,@YosefWonosari,Netral
YouTube,Roi suryo grup  siap2 masuk pondok  😁😁😁😁,1 menit yang lalu,@KarmoPakde,Netral
YouTube,"Pengalihan isu oleh agen agen,, fokus RUU PERAMPASAN ASET KORUPTOR DI DPR RI AGAR JADI UU ,FOKUSS,,FOKUSS,,FOKUSS !!????",1 menit yang lalu,@5dimensi738,Netral
YouTube,Sebagai masyarakat harusnya spt roysuryo dan peneliti² lain..mending mikir penelitian² demi kesejahteraan masyarakat..nggak meneliti kesalahan orang lain saja,1 menit yang lalu,@edijambuwer,Netral
YouTube,"Menurut RS penelitian yg lain abal2, tapi pengakuannya klu penelitian dia sendiri baru ilmiah, pengin menangnya sendiri...",1 menit yang lalu,@sepur_pasiku,Netral
YouTube,Itu kan ulah kalian sendiri...kalau ibu ini tau diri,1 menit yang lalu,@jacksoares8512,Netral
YouTube,Orang yg SDH memendam kebencian maka tdk ada yg benar bagi mereka.jadi tdk ada alasan buat mereka utk mengelak dari perbuatan menghasut dan perbuatan pencemaran nama baik.,1 menit yang lalu,@ImronRosuadi,Netral
YouTube,Lah itu kan hak setiap orang terkait ijazah dia sendiri.... Emang bener Roy susuusuu ini terlalu goblok...,2 menit yang lalu,@seegenyiss8127,Netral
YouTube,Lagu Indonesia Raya sudah hafal bang?,2 menit yang lalu,@rendranuasa6727,Netral
YouTube,"Ntar jgn lupa roy bawa panci di penjara, mayan buat masak mie..",2 menit yang lalu,@Spyh74,Netral
YouTube,muak gw lihat muka muka pelapor,2 menit yang lalu,@andriirawan9887,Netral
YouTube,lihat dirimu sendiri dahulu .... sudah benar tidak?,2 menit yang lalu,@TheSansan889,Netral
YouTube,Macam roisurio saja yg paling jujur,2 menit yang lalu,@waebumbekchenel7148,Netral
YouTube,Kasus ini simple kalo barisan sakit hati lenyap dari Indonesia,2 menit yang lalu,@VesiskaYantiani-m7d,Netral
YouTube,Awas hati2. Roy Suryo sdh mulai nyentil 2 ibu2. Dia akan memframming jokowi kejam. Pd hal dlm hukum kedudujsn kita sama,2 menit yang lalu,@ruryanggrek5187,Netral
YouTube,BONGKAR KOTAK PANDORA... izajah palsu Mulyono...,2 menit yang lalu,@lashiraraiyalestari195,Netral
YouTube,jangan lupa laporkan juga say didu orangxini racun direpoblik ini kalau tak diproses hukum orangxbrenset ini,2 menit yang lalu,@twoz5552,Netral
YouTube,"Giliran dilaporkan balik baru bilang harusnya ini hal sepele,...gerombolan manusia sakit hati ya begitu",2 menit yang lalu,@modus1297,Netral
YouTube,Padahal panci sudah pernah di kandang kan tapi  tambah nyinyir terus,2 menit yang lalu,@bagioblt8147,Netral
YouTube,"Bikin gaduh negara doank,,",2 menit yang lalu,@warojiika7826,Netral
YouTube,Ya bagus.. Residivis bisa dihukun maksimal 😂,2 menit yang lalu,@ariefmarjuki9787,Netral
YouTube,"Makanya.....knp kepo yg tdk berguna itu dilarang agama....
Apa salahnya anda secara gantle temu Paki Jokowi dan melihat keaslian ijazah nya....
Kan selesai dari dulu....
Tapi KEPO ala Roy CS ini lebih menjurus kpd memfitnah dan merusak nama baik serta yg paling parah adalah membuat gaduh Bangsa ini.....
Maka anda besiaplah dgn sportif menerima akibat dunia akhiratnya....😊",2 menit yang lalu,@qjomblochannel8471,Netral
YouTube,"Diera ekonomi dunia sulitnya minta ampun,,kok tdk malah solid dan bersatu,,kok malah ,,membuat berita 2tdk bermutu...semoga semua orang 2 pintar di negri ini bisa membuat rakyat tdk linglung.😂",2 menit yang lalu,@siomi6x775,Netral
YouTube,"Harusnya bilang ijazah yg saya uji melalui foto bernama jokowi adalah palsu. 
Tapi gak tau itu ijazah jokowi pak presiden atau bukan. 

Jangan langsung bilang 
Ijazah Pak Jikowi (Mantan Presiden) Palsu. 

Itu namanya pencemaran nama Baik.",2 menit yang lalu,@nuelgracefun837,Netral
YouTube,"Roy suryo wes takut ,karena udah ada ijasah aslinya kasiah deh roy suryo kasihan deh",2 menit yang lalu,@FarisAmar-kf7bn,Netral
YouTube,we wok de tok no onli tok de tok,3 menit yang lalu,@AfgaLz,Netral
YouTube,Merasa paling benar Roy roy,3 menit yang lalu,@Azlan77215,Netral
YouTube,"Kalau sudah di perlihatkan Ijasa Pk Jokowi dan terbukri Asli, lNgsung jebloskan Roy Suryo  yg berhati busuk itu ke penjara.",3 menit yang lalu,@FaraDila-k3y,Netral
YouTube,Nha tenan to. Wis tak bedhek😂,3 menit yang lalu,@purwokertopwt4568,Netral
